Name,aug_idx,supp_ratio,mmg,msg,smg,ssg,area,curve_c,gradient,particle_sum,target
COA-004,03,79.9328295549958,113.19912347560975,36.951961164142595,9.758572403227607,8.782827053002507,7886.057848251521,132.322895796363,0.1331,18417,f2
CSO-001,00,86.52392947103274,179.634578125,19.521463828946068,8.458631731941715,4.587801126554018,5525.995476217451,200.9146555853053,0.1792,710,p0
CSO-001,01,88.2514817950889,180.3379190340909,19.275756391754392,8.910133895764568,4.569870340348313,4536.952595786051,203.26743712297778,0.1992,719,p0
CSO-001,02,93.47687738650828,179.6945859375,19.610101436581726,7.983670009585846,4.717637373510393,5314.673408439854,200.81525049926242,0.1958,711,p0
CSO-001,03,91.75116180819603,180.3817684659091,19.406782773062865,8.682683861050876,4.486174862822036,4409.386006614905,203.22723730028625,0.1952,719,p0
CSO-002,00,82.18475073313783,160.25889583333338,25.698591793499133,11.397862580524206,4.424503046377209,2127.5680388172523,191.57634336896263,0.1673,197,p0
CSO-002,01,80.86510263929618,160.35001562500003,25.57042872910783,11.796632974224659,4.821757824518813,2038.8596339729856,191.53060286175992,0.1673,197,p0
CSO-002,02,83.82292097641705,160.13559375000003,25.6305289095206,11.293399855601615,4.5527936685095405,2131.0649749837826,191.57529725588662,0.1673,197,p0
CSO-002,03,75.99289297658864,160.32183854166664,25.479251549653178,11.910560099792145,4.9981168110432765,2011.2134960334806,191.5280193577485,0.1673,197,p0
CSO-003,00,77.36204013377926,142.811984375,26.3658513191666,3.0115564053601953,6.6011717602021545,1871.0088456789988,142.57297803966011,0.0375,4,p0
CSO-003,01,86.94201084689195,142.86571093749998,26.511590928899714,2.3494034183294517,6.365965108042678,1850.727900225947,141.97755809255486,0.034,4,p0
CSO-003,02,85.6092884533447,142.8967578125,26.32898650167227,3.024958030069047,6.955153939655148,2021.4083256784777,142.78674420257062,0.0372,258,p0
CSO-003,03,81.3082133784928,143.31313210227273,26.80059508249026,2.5543581698334865,6.627520995388219,1872.2036725284563,143.1691895880677,0.042,19,p0
CUB-001,00,73.14505347593582,193.15041503906252,24.151172543785215,24.138739984701473,15.15573241242405,38449.16512809245,217.11220952143694,0.2973,30545,f2
CUB-001,01,77.32892953929539,193.26521484375,23.71862025501749,24.708050085519684,15.108721245633413,37885.010325902884,216.95296171439722,0.2297,30526,f2
CUB-001,02,68.65708622398414,188.80720833333334,26.33891459997144,23.551830706033993,15.55099749897058,25284.904282021536,230.4679180612461,0.5269,32881,f2
CUB-001,03,68.29369012223323,188.299015625,26.16032158183697,23.983768135785706,15.528948578104618,25584.202956748064,230.11071434868788,0.5269,32941,f2
CUB-002,00,49.53812562982869,164.35546354166667,32.690820989163406,33.9714478700593,15.272697228339513,25516.098501691435,225.2026267694657,0.5176,56286,f2
CUB-002,01,50.90463307406154,173.32687863372092,28.397022585019535,32.430332151269866,13.018569774480563,46585.013051990296,200.69556650583672,0.0547,68457,f2
CUB-002,02,55.030231776956676,162.42261904761904,29.53198183307267,40.2226910337062,13.156814491487978,43748.38682261118,172.87728893898515,0.0389,48859,f2
CUB-002,03,50.32018874283788,166.02449218750002,30.735541835667764,35.0643369146641,14.124364629447662,22479.22795459314,227.57582797010485,0.551,58280,f2
CUB-003,00,36.99532866199533,155.29835755813951,32.25330069269703,31.251424658012006,10.872749394123192,29175.05687008294,202.15820475115675,0.3313,83470,f2
CUB-003,01,37.09811070599934,146.8870361328125,34.78921040158589,33.57692804789641,9.71655663680419,31714.857552519738,198.44357259777067,0.3445,70550,f2
CUB-003,02,32.67703507610854,154.8669949127907,32.65008173037376,30.707176084742457,10.770779907181224,29311.92272508097,202.5643187097883,0.3313,83426,f2
CUB-003,03,39.595660749506905,156.4634593023256,33.23207593948102,31.91618287751956,10.720909060970108,21258.080400155886,212.6121375194399,0.3435,79007,f2
CUB-004,00,31.975593667546175,133.217707122093,33.47286756718431,22.77356956062175,11.009991511116516,27446.00933941042,156.14182311140152,0.1945,45581,f2
CUB-004,01,33.31123632747763,131.98907703488373,34.238169659106305,22.277168466343113,9.886838233316288,27414.094328566345,156.28556754779996,0.1945,45934,f2
